id,submission_time,vote_number,question_id,message,image
<<<<<<< HEAD
1,1493398154,4,1,You need to use brackets: my_list = [],
2,1493088154,35,1,Look it up in the Python docs,
3,1637069161,,1,I don't know, 
4,1637153022,0,4,Amire választ várnak., 
5,1637153148,0,4,Információ szükséglet kifejezése., 
6,1637153154,0,4,Nem tudom., 
=======
1,1493398154,005,1,You need to use brackets: my_list = [],
2,1493088154,036,1,Look it up in the Python docs,
>>>>>>> d085c0cc63c629b5e69e36aaefbd30628edf7880
